Match Number,Round Number,Date,Location,Home Team,Away Team,Result
11,1,11/09/2022 17:00,Ford Field,Detroit Lions,Philadelphia Eagles,35 - 38
17,2,20/09/2022 00:30,Lincoln Financial Field,Philadelphia Eagles,Minnesota Vikings,24 - 7
47,3,25/09/2022 17:00,FedExField,Washington Commanders,Philadelphia Eagles,8 - 24
61,4,02/10/2022 17:00,Lincoln Financial Field,Philadelphia Eagles,Jacksonville Jaguars,29 - 21
67,5,09/10/2022 20:25,State Farm Stadium,Arizona Cardinals,Philadelphia Eagles,17 - 20
82,6,17/10/2022 00:20,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,26 - 17
121,8,30/10/2022 17:00,Lincoln Financial Field,Philadelphia Eagles,Pittsburgh Steelers,35 - 13
136,9,04/11/2022 00:15,NRG Stadium,Houston Texans,Philadelphia Eagles,17 - 29
137,10,15/11/2022 01:15,Lincoln Financial Field,Philadelphia Eagles,Washington Commanders,21 - 32
160,11,20/11/2022 18:00,Lucas Oil Stadium,Indianapolis Colts,Philadelphia Eagles,16 - 17
166,12,28/11/2022 01:20,Lincoln Financial Field,Philadelphia Eagles,Green Bay Packers,40 - 33
194,13,04/12/2022 18:00,Lincoln Financial Field,Philadelphia Eagles,Tennessee Titans,35 - 10
205,14,11/12/2022 18:00,MetLife Stadium,New York Giants,Philadelphia Eagles,22 - 48
220,15,18/12/2022 18:00,Soldier Field,Chicago Bears,Philadelphia Eagles,20 - 25
230,16,24/12/2022 21:25,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,40 - 34
253,17,01/01/2023 18:00,Lincoln Financial Field,Philadelphia Eagles,New Orleans Saints,10 - 20
266,18,08/01/2023 21:25,Lincoln Financial Field,Philadelphia Eagles,New York Giants,22 - 16
280,Divisional Round,22/01/2023 01:15,Lincoln Financial Field,Philadelphia Eagles,New York Giants,38 - 7
283,Conference Champs,29/01/2023 20:00,Lincoln Financial Field,Philadelphia Eagles,San Francisco 49ers,31 - 7
285,Super Bowl,12/02/2023 23:30,State Farm Stadium,Philadelphia Eagles,Kansas City Chiefs,35 - 38
